sno,date,time,state/unionterritory,confirmedindiannational,confirmedforeignnational,cured,deaths,confirmed
3,2020-01-02,6:00 PM,Kerala,2,0,0,0,2
32,2020-01-03,6:00 PM,Kerala,3,0,0,0,3
557,2020-01-04,7:30 PM,Uttar Pradesh,-,-,14,2,103
556,2020-01-04,7:30 PM,Uttarakhand,-,-,2,0,7
555,2020-01-04,7:30 PM,Telengana,-,-,1,3,96
554,2020-01-04,7:30 PM,Tamil Nadu,-,-,6,1,234
553,2020-01-04,7:30 PM,Rajasthan,-,-,3,0,93
552,2020-01-04,7:30 PM,Punjab,-,-,1,3,42
551,2020-01-04,7:30 PM,Puducherry,-,-,1,0,3
550,2020-01-04,7:30 PM,Odisha,-,-,0,0,4
549,2020-01-04,7:30 PM,Mizoram,-,-,0,0,1
548,2020-01-04,7:30 PM,Manipur,-,-,0,0,1
547,2020-01-04,7:30 PM,Maharashtra,-,-,39,9,302
546,2020-01-04,7:30 PM,Madhya Pradesh,-,-,0,3,66
545,2020-01-04,7:30 PM,Ladakh,-,-,3,0,13
531,2020-01-04,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,10
543,2020-01-04,7:30 PM,Karnataka,-,-,8,3,101
542,2020-01-04,7:30 PM,Jharkhand,-,-,0,0,1
541,2020-01-04,7:30 PM,Jammu and Kashmir,-,-,2,2,62
540,2020-01-04,7:30 PM,Himachal Pradesh,-,-,0,1,3
539,2020-01-04,7:30 PM,Haryana,-,-,21,0,43
538,2020-01-04,7:30 PM,Gujarat,-,-,5,6,82
537,2020-01-04,7:30 PM,Goa,-,-,0,0,5
536,2020-01-04,7:30 PM,Delhi,-,-,6,2,152
535,2020-01-04,7:30 PM,Chhattisgarh,-,-,2,0,9
534,2020-01-04,7:30 PM,Chandigarh,-,-,0,0,16
533,2020-01-04,7:30 PM,Bihar,-,-,0,1,23
532,2020-01-04,7:30 PM,Assam,-,-,0,0,1
530,2020-01-04,7:30 PM,Andhra Pradesh,-,-,1,0,83
558,2020-01-04,7:30 PM,West Bengal,-,-,6,3,37
544,2020-01-04,7:30 PM,Kerala,-,-,23,2,241
1,2020-01-30,6:00 PM,Kerala,1,0,0,0,1
2,2020-01-31,6:00 PM,Kerala,1,0,0,0,1
4,2020-02-02,6:00 PM,Kerala,3,0,0,0,3
33,2020-02-03,6:00 PM,Telengana,1,0,0,0,1
34,2020-02-03,6:00 PM,Kerala,3,0,0,0,3
35,2020-02-03,6:00 PM,Delhi,1,0,0,0,1
574,2020-02-04,6:00 PM,Ladakh,-,-,3,0,13
575,2020-02-04,6:00 PM,Madhya Pradesh,-,-,0,6,99
576,2020-02-04,6:00 PM,Maharashtra,-,-,42,13,335
577,2020-02-04,6:00 PM,Manipur,-,-,0,0,1
578,2020-02-04,6:00 PM,Mizoram,-,-,0,0,1
580,2020-02-04,6:00 PM,Puducherry,-,-,1,0,3
573,2020-02-04,6:00 PM,Kerala,-,-,25,2,265
581,2020-02-04,6:00 PM,Punjab,-,-,1,4,46
582,2020-02-04,6:00 PM,Rajasthan,-,-,3,0,108
583,2020-02-04,6:00 PM,Tamil Nadu,-,-,6,1,234
579,2020-02-04,6:00 PM,Odisha,-,-,0,0,4
572,2020-02-04,6:00 PM,Karnataka,-,-,9,3,110
569,2020-02-04,6:00 PM,Himachal Pradesh,-,-,1,1,3
584,2020-02-04,6:00 PM,Telengana,-,-,1,3,107
568,2020-02-04,6:00 PM,Haryana,-,-,21,0,43
567,2020-02-04,6:00 PM,Gujarat,-,-,8,7,87
566,2020-02-04,6:00 PM,Goa,-,-,0,0,5
565,2020-02-04,6:00 PM,Delhi,-,-,8,4,219
564,2020-02-04,6:00 PM,Chhattisgarh,-,-,2,0,9
563,2020-02-04,6:00 PM,Chandigarh,-,-,0,0,16
562,2020-02-04,6:00 PM,Bihar,-,-,0,1,24
561,2020-02-04,6:00 PM,Assam,-,-,0,0,5
560,2020-02-04,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10
559,2020-02-04,6:00 PM,Andhra Pradesh,-,-,1,1,86
571,2020-02-04,6:00 PM,Jharkhand,-,-,0,0,1
585,2020-02-04,6:00 PM,Uttarakhand,-,-,2,0,7
